rank,modeling_kc_id,modeling_kc_label,unit,unit_description,topic_group,weight,tier,estimated_exam_share_pct,unit_exam_weighting,direct_dependents,downstream_dependents,weighted_direct_edge_count,num_primary_items,num_student_records,mean_percent_score,weight_rationale,2026_27_revision_note
1,MKC.U4.01.probability_foundations_simulation,Probability foundations and simulation,Unit 4,"Probability, Random Variables, and Probability Distributions",Probability foundations,100,Tier 1: critical,3.53,10%–20%,4,26,4,43,1519,0.5918,foundation for 26 downstream MKCs; high AP unit weighting; aligns with high-weight probability/simulation skill,
2,MKC.U1.04.summary_statistics_outliers,"Summary statistics, percentiles, and outliers",Unit 1,Exploring One-Variable Data,Summary statistics,96,Tier 1: critical,3.78,15%–23%,3,33,6,24,910,0.5824,foundation for 33 downstream MKCs; high AP unit weighting,
3,MKC.U6.02.one_prop_hypothesis_tests,One-proportion hypothesis tests,Unit 6,Inference for Categorical Data: Proportions,Inference for proportions,96,Tier 1: critical,3.69,12%–15%,7,13,14,40,1407,0.489,directly supports 7 MKCs; high AP unit weighting,
4,MKC.U1.03.quantitative_displays_description,Quantitative displays and distribution description,Unit 1,Exploring One-Variable Data,Quantitative displays,92,Tier 1: critical,3.15,15%–23%,4,33,4,18,617,0.5673,foundation for 33 downstream MKCs; high AP unit weighting,
5,MKC.U1.01.data_context_variables,Data context and variable classification,Unit 1,Exploring One-Variable Data,Data foundations,89,Tier 1: critical,2.42,15%–23%,4,41,4,11,346,0.6257,foundation for 41 downstream MKCs; high AP unit weighting,
6,MKC.U1.06.normal_distribution_calculations,Normal distribution modeling and calculations,Unit 1,Exploring One-Variable Data,Normal distributions,86,Tier 1: critical,3.46,15%–23%,2,25,4,21,720,0.5396,foundation for 25 downstream MKCs; high AP unit weighting,
7,MKC.U3.01.population_sampling_methods,Populations and sampling methods,Unit 3,Collecting Data,Data collection,86,Tier 1: critical,3.75,12%–15%,3,25,5,31,1214,0.5437,foundation for 25 downstream MKCs; high AP unit weighting,
8,MKC.U1.05.standardization_transformations,Standardization and linear transformations,Unit 1,Exploring One-Variable Data,Transformations,82,Tier 2: high,2.94,15%–23%,2,25,3,16,794,0.5705,foundation for 25 downstream MKCs; high AP unit weighting,
9,MKC.U5.01.normal_simulation_estimators,"Normal models, simulation, and estimators",Unit 5,Sampling Distributions,Sampling-distribution foundations,79,Tier 2: high,2.94,7%–12%,4,21,4,31,889,0.5714,foundation for 21 downstream MKCs; aligns with high-weight probability/simulation skill,
10,MKC.U4.02.conditional_compound_independence,"Conditional, compound, and independent-event probability",Unit 4,"Probability, Random Variables, and Probability Distributions",Conditional probability,78,Tier 2: high,2.77,10%–20%,3,3,5,29,898,0.5312,high AP unit weighting; aligns with high-weight probability/simulation skill,
11,MKC.U4.03.random_variables_expected_value,"Random variables, probability distributions, and expected value",Unit 4,"Probability, Random Variables, and Probability Distributions",Random variables,78,Tier 2: high,3.8,10%–20%,0,0,0,48,1423,0.558,high AP unit weighting; aligns with high-weight probability/simulation skill,
12,MKC.U6.01.one_prop_confidence_intervals,One-proportion confidence intervals,Unit 6,Inference for Categorical Data: Proportions,Inference for proportions,76,Tier 2: high,3.04,12%–15%,2,13,4,30,899,0.5078,moderate graph centrality (13 downstream); high AP unit weighting,
13,MKC.U4.04.binomial_model,Binomial model,Unit 4,"Probability, Random Variables, and Probability Distributions",Binomial distributions,74,Tier 2: high,2.66,10%–20%,2,2,2,27,995,0.5382,high AP unit weighting; aligns with high-weight probability/simulation skill,
14,MKC.U7.05.two_sample_t_tests,Two-sample t-tests,Unit 7,Inference for Quantitative Data: Means,Inference for means,71,Tier 2: high,2.38,10%–18%,4,7,4,15,974,0.4651,directly supports 4 MKCs; high AP unit weighting,
15,MKC.U1.02.categorical_tables_displays,"Categorical tables, displays, and association",Unit 1,Exploring One-Variable Data,Categorical data,70,Tier 2: high,3.25,15%–23%,1,7,1,19,498,0.6205,moderate graph centrality (7 downstream); high AP unit weighting,
16,MKC.U7.03.one_sample_t_tests,One-sample and matched-pairs t-tests,Unit 7,Inference for Quantitative Data: Means,Inference for means,69,Tier 3: medium-high,3.93,10%–18%,0,0,0,31,802,0.4401,high AP unit weighting,
