class_num,class_length_hours,class_title,compressed_focus,homework_id,homework_observations,homework_source_mix,primary_kcs,class_date
1,2,Data foundations and categorical displays,"Variables, observational units, categorical vs quantitative, frequency/relative-frequency tables, bar charts, segmented bars, and two-way categorical comparisons.",HW1,21,Part A Q1-12; SG_1 selected categorical items; SG_frq1 Q1(a).,KC.U1.01.statistical_context|KC.U1.02.observational_unit_variable|KC.U1.03.variable_type_cat_quant|KC.U1.04.variable_type_discrete_continuous|KC.U1.05.categorical_freq_relative|KC.U1.06.categorical_bar_pie_segmented|KC.U1.07.two_way_table_association|KC.U1.08.graph_choice_categorical|KC.U1.27.sample_population_scope,2025-09-05
2,2,"Quantitative displays, summaries, outliers, transformations","Discrete/continuous variables, dotplots, histograms, boxplots, shape, center, spread, IQR, outliers, resistance, and linear transformations.",HW2,24,Part A Q13-18; Part B Q1-12; SG_1 selected summary-statistic items; SG_frq1 Q1(b).,KC.U1.09.quantitative_display_reading|KC.U1.10.histogram_shape_features|KC.U1.11.describe_distribution_socs|KC.U1.12.center_mean_median_mode|KC.U1.13.spread_iqr_range_sd|KC.U1.14.five_number_boxplot|KC.U1.15.outlier_rule|KC.U1.16.resistance_skew_mean_median|KC.U1.17.compare_distributions|KC.U1.18.linear_transformations|KC.U1.25.percentile_quartile_interpretation|KC.U1.26.graph_construction_axes,2025-09-12
3,2,Standardization and normal distributions,"z-scores, empirical rule, normal model appropriateness, normal probabilities, inverse-normal reasoning, and comparing standardized values.",HW3,24,Part B Q13-18; SG_1 selected normal-distribution items; Unit 1 Progress Check FRQ components.,KC.U1.19.z_score_compute_interpret|KC.U1.20.normal_model_appropriateness|KC.U1.21.empirical_rule_sd|KC.U1.22.normal_tail_interval_probability|KC.U1.23.inverse_normal_percentile|KC.U1.24.compare_standardized_values|KC.U1.11.describe_distribution_socs|KC.U1.26.graph_construction_axes,2025-09-19
4,2,Unit 2 compressed: two-variable data and regression,"Two-way tables, conditional distributions, association, scatterplots, correlation, linear regression, residuals, r-squared, outliers/leverage, extrapolation, and transformations.",HW4,39,"Unit 2 Progress Check MCQ Part A selected Q1-Q18; Part B selected Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q10,Q11,Q12,Q13,Q14,Q16,Q18; Unit 2 Progress Check FRQ Q1-Q2 components.",KC.U2.01.two_way_table_structure|KC.U2.02.marginal_relative_frequency|KC.U2.03.conditional_relative_frequency|KC.U2.04.categorical_association_independence|KC.U2.05.segmented_bar_comparison|KC.U2.06.scatterplot_construction|KC.U2.07.scatterplot_describe_association|KC.U2.08.explanatory_response_variables|KC.U2.09.correlation_properties|KC.U2.10.correlation_interpretation|KC.U2.11.linear_vs_nonlinear_form|KC.U2.12.outliers_leverage_influence|KC.U2.13.least_squares_prediction|KC.U2.14.slope_interpretation|KC.U2.15.intercept_interpretation|KC.U2.16.residual_compute_interpret|KC.U2.17.residual_plot_assess_linearity|KC.U2.18.standard_deviation_residuals|KC.U2.19.coefficient_of_determination|KC.U2.20.regression_extrapolation|KC.U2.21.transformations_linearization,2025-09-26
5,2,Unit 3A: Planning a study — data collection,"Population of interest, census versus sample survey, simple random/stratified/cluster/systematic sampling, convenience and voluntary-response samples, bias, and scope of generalization.",HW5,29,Unit 3 Progress Check MCQ Part A selected items; SG_34 selected Unit 3 data-collection items; Unit 3 Progress Check FRQ Q2 components.,KC.U2.05.segmented_bar_comparison|KC.U3.01.population_of_interest|KC.U3.02.census_vs_sample_survey|KC.U3.03.simple_random_sample|KC.U3.04.stratified_random_sample|KC.U3.05.cluster_sample|KC.U3.06.systematic_sample|KC.U3.07.convenience_voluntary_response_sample|KC.U3.08.sampling_bias_undercoverage|KC.U3.09.nonresponse_bias|KC.U3.10.response_wording_bias|KC.U3.11.generalization_scope|KC.U3.13.stratification_design_advantage,2025-10-03
6,2,Unit 3B: Planning a study — experimental design,"Experiment versus observational study, treatments, response variables, experimental units, random assignment, control/comparison/replication, completely randomized designs, randomized block designs, matched pairs, blinding/placebo, confounding, causation, and scope of conclusions.",HW6,32,Unit 3 Progress Check MCQ Part A Q3; Unit 3 Progress Check MCQ Part B selected items; SG_34 selected Unit 3 experimental-design items; Unit 3 Progress Check FRQ Q1 components.,KC.U3.03.simple_random_sample|KC.U3.07.convenience_voluntary_response_sample|KC.U3.11.generalization_scope|KC.U3.14.experiment_vs_observational|KC.U3.15.experimental_units|KC.U3.16.explanatory_response_treatments|KC.U3.17.random_assignment|KC.U3.18.causation_from_experiment|KC.U3.19.control_comparison_replication|KC.U3.20.completely_randomized_design|KC.U3.21.randomized_block_design|KC.U3.22.matched_pairs_design|KC.U3.23.placebo_blinding|KC.U3.24.confounding_variables|KC.U3.25.design_conclusion_scope|KC.U3.26.experimental_design_flaws,2025-10-10
7,2,Unit 4A: Probability foundations and simulation,"Long-run probability, sample spaces, counting outcomes, simulation models, complements, unions/intersections, mutually exclusive events, and introductory conditional probability.",HW7,25,Unit 4 Progress Check MCQ Part A; SG_34 selected Unit 4 probability-foundation items.,KC.U4.01.probability_long_run_interpretation|KC.U4.02.simulation_model_design|KC.U4.03.sample_space_outcomes|KC.U4.04.basic_probability_counting|KC.U4.05.complement_rule|KC.U4.06.union_intersection_addition_rule|KC.U4.07.mutually_exclusive_events|KC.U4.08.conditional_probability|KC.U4.09.two_way_probability_tables|KC.U4.10.multiplication_rule_dependent|KC.U4.32.probability_from_simulation,2025-10-17
8,2,Unit 4B: Conditional and compound probability,"Conditional probability, two-way probability tables, multiplication rule, independent events, tree/path reasoning, Bayes-style base-rate reasoning, and independence versus mutual exclusivity.",HW8,24,Unit 4 Progress Check MCQ Part A/B; SG_34 selected Unit 4 compound-probability and independence items.,KC.U4.06.union_intersection_addition_rule|KC.U4.07.mutually_exclusive_events|KC.U4.08.conditional_probability|KC.U4.09.two_way_probability_tables|KC.U4.10.multiplication_rule_dependent|KC.U4.11.independent_events_probability|KC.U4.12.probability_tree_compound_paths|KC.U4.13.bayes_total_probability|KC.U4.22.joint_distribution_independence,2025-10-24
9,2,Unit 4C: Random variables and expected value,"Random variables, discrete probability distributions, expected value, standard deviation, probability-distribution shape, linear transformations, combining independent random variables, and expected-value decision making.",HW9,30,Unit 4 Progress Check MCQ Part B; Unit 4 Progress Check FRQ Q2 components; SG_34 selected random-variable items.,KC.U4.14.random_variable_definition|KC.U4.15.discrete_probability_distribution|KC.U4.16.expected_value_calculation|KC.U4.17.expected_value_interpretation|KC.U4.18.standard_deviation_random_variable|KC.U4.19.probability_distribution_shape_center|KC.U4.20.linear_transform_random_variable|KC.U4.21.combining_independent_random_variables|KC.U4.33.expected_value_decision_making,2025-10-31
10,2,Unit 4D: Binomial and geometric models,"Binomial conditions, exact and cumulative binomial probabilities, binomial mean and standard deviation, geometric conditions, geometric probability, geometric mean/standard deviation, model assumptions, and simulation-based probability evidence.",HW10,31,Unit 4 Progress Check MCQ Part C; Unit 4 Progress Check FRQ Q1 components; SG_34 selected Unit 4 binomial/geometric items.,KC.U4.02.simulation_model_design|KC.U4.16.expected_value_calculation|KC.U4.23.binomial_conditions|KC.U4.24.binomial_exact_probability|KC.U4.25.binomial_cumulative_probability|KC.U4.26.binomial_mean_sd|KC.U4.27.binomial_formula_interpretation|KC.U4.28.geometric_conditions|KC.U4.29.geometric_probability|KC.U4.30.geometric_mean_sd|KC.U4.31.choose_binomial_vs_geometric|KC.U4.32.probability_from_simulation|KC.U4.34.model_assumptions_independence_trials,2025-11-07
